subject_id,epoch_index,start_time,end_time,raw_stage,target_stage,delta_absolute,theta_absolute,alpha_absolute,beta_absolute,delta_relative,theta_relative,alpha_relative,beta_relative,spectral_entropy,dominant_frequency
SC4001,0,0.0,30.0,Sleep stage W,W,4.440570800971542e-10,9.88941798913572e-11,8.991908790861376e-12,1.0136935009669951e-11,0.7900245482871879,0.1759432138314465,0.015997557519374813,0.018034680361990713,0.6674054359716904,0.5859375
SC4001,1,30.0,60.0,Sleep stage W,W,2.597150982507625e-10,4.180098334204553e-11,1.3419569031996408e-11,2.940131517643202e-11,0.7542469268335229,0.12139557321352056,0.03897219980657743,0.085385300146379,0.755591335669698,1.07421875
SC4001,2,60.0,90.0,Sleep stage W,W,3.7793523683896515e-10,2.401453595606153e-11,1.2570375336021094e-11,1.7541881178010058e-11,0.8747244867672107,0.055581222896316396,0.029093913566353668,0.04060037677011926,0.6048709761892659,1.171875
SC4001,3,90.0,120.0,Sleep stage W,W,2.0286506229363857e-10,1.8272739223463188e-11,1.3375016602866968e-11,7.659839657568496e-12,0.8376877231119663,0.07545335378137011,0.055229259676182856,0.03162966343048074,0.6568597665732716,1.66015625
SC4001,4,120.0,150.0,Sleep stage W,W,1.2601712406494217e-10,4.473053317676653e-11,9.939413445101922e-12,6.4356639133509555e-12,0.6734463577299247,0.23904381940732872,0.05311708097009255,0.03439274189265401,0.715087786852349,2.05078125
SC4001,5,150.0,180.0,Sleep stage W,W,3.5968732952689387e-10,8.996227240679182e-11,9.46453083271272e-12,7.938325480094937e-12,0.7701219063856504,0.19261706221298378,0.02026438500772794,0.016996646393637814,0.7087910973608103,1.26953125
SC4001,6,180.0,210.0,Sleep stage W,W,5.288465549629517e-10,7.405553935462491e-11,2.0320276199626055e-11,5.31572040542802e-11,0.7818783636362762,0.10948813674857413,0.030042711169242318,0.07859078844590732,0.7190097597507122,0.5859375
SC4001,7,210.0,240.0,Sleep stage W,W,4.735093158413984e-10,5.7555814720716005e-11,7.249277121558262e-12,9.989178992328188e-12,0.8635896743115793,0.10497070622798318,0.0132212834234877,0.01821833603694975,0.6400596833162031,0.5859375
SC4001,8,240.0,270.0,Sleep stage W,W,2.7011124762191607e-10,7.658766856930835e-11,1.0397562043927731e-11,9.57299329795114e-12,0.7366614037774621,0.20887386192551874,0.028356770473565395,0.026107963823453678,0.7320007766613896,0.5859375
SC4001,9,270.0,300.0,Sleep stage W,W,3.6683646352549257e-10,4.615739098858201e-11,9.618590387106142e-12,2.0615402762145887e-11,0.8276475980907668,0.104139194393857,0.021701232081456148,0.04651197543392001,0.6818005316645306,0.5859375
